ants,ant
whites,white
mummies,mummy
naughties,naughty
wines,wine
pokes,poke
pushes,push
scrolls,scroll
seniors,senior
betters,better
polls,poll
candidates,candidate
democrats,democrat
cables,cable
volts,volt
plugs,plug
circuits,circuit
gadgets,gadget
basics,basic
factors,factor
trunks,trunk
pachyderms,pachyderm
mammoths,mammoth
floors,floor
ocean's,ocean
pergolas,pergola
fairies,fairy
goblins,goblin
gremlins,gremlin
diplomats,diplomat
representatives,representative
suites,suite
sequins,sequin
silks,silk
stitches,stitch
faces,face
italics,italic
strikes,strike
burritos,burrito
fajitas,fajita
tortillas,tortilla
begins,begin
terminates,terminate
ceases,cease
terminals,terminal
accents,accent
patriots,patriot
thinkers,thinker
thermodynamics,thermodynamic
shavings,shaving
oils,oil
napkins,napkin
maneuvers,maneuver
occasions,occasion
festivities,festivity
moments,moment
occurrences,occurrence
loves,love
forensics,forensic
tall tales,tall tale
quizzes,quiz
examinations,examination
reviews,review
thought processes,thought process
robotics,robotic
miracles,miracle
anticipations,anticipation
minorities,minority
injuries,injury
dale's,dale
roaches,roach
firemen,fireman
tweezers,tweezer
brows,brow
snowflakes,snowflake
spectacles,spectacle
morons,moron
posts,post
updates,update
expressions,expression
fears,fear
unions,union
truths,truth
employees,employee
fables,fable
legends,legend
tales,tale
vows,vow
repercussions,repercussion
geeks,geek
bangs,bang
adams,adam
unicorns,unicorn
barns,barn
grows,grow
tractors,tractor
feds,fed
turds,turd
comments,comment
feels,feel
feelers,feeler
dues,due
yards,yard
criminals,criminal
females,female
passengers,passenger
families,family
peasants,peasant
lords,lord
serfs,serf
paddocks,paddock
pastures,pasture
catches,catch
daisies,daisy
poppies,poppy
newtons,newton
figurines,figurine
diagrams,diagram
images,image
silhouettes,silhouette
cabinets,cabinet
flicks,flick
watches,watch
keepers,keeper
clippings,clipping
whorls,whorl
thumbs,thumb
tendrils,tendril
hoses,hose
firefighters,firefighter
explosions,explosion
sparklers,sparkler
toppings,topping
pennants,pennant
banners,banner
markers,marker
embers,ember
twenties,twenty
1920s,1920
compliments,compliment
foxes,fox
maggots,maggot
soars,soar
flip flop,flip flops
thongs,thong
havanas,havana
gulls,gull
waters,water
tributes,tribute
flows,flow
blooms,bloom
dynamics,dynamic
flunkies,flunky
tracks,track
footprints,footprint
traces,trace
compels,compel
armies,army
coerces,coerce
insists,insist
pressures,pressure
requires,require
vectors,vector
pines,pine
tines,tine
blanks,blank
margins,margin
cheerleaders,cheerleader
race cars,race car
defenses,defense
acres,acre
winks,wink
onwards,onward
sends,send
fuels,fuel
winds,wind
freckles,freckle
moles,mole
blotches,blotch
dimples,dimple
buddies,buddy
enemies,enemy
amigos,amigo
companions,companion
acquaintances,acquaintance
chums,chum
bakes,bake
cooks,cook
horror movies,horror movie
extras,extra
tassels,tassel
lambs,lamb
coupons,coupon
pebbles,pebble
werewolves,werewolf
tides,tide
brakes,brake
odors,odor
fundamentals,fundamental
toadstools,toadstool
buss,bus
spaceships,spaceship
grams,gram
losses,loss
wins,win
increases,increase
gets,get
improvements,improvement
achievements,achievement
obtains,obtain
goofs,goof
puddles,puddle
rubbers,rubber
wellingtons,wellington
pokies,poky
contestants,contestant
board games,board game
casinos,casino
butchers,butcher
thugs,thug
bloods,blood
creeps,creep
tattoos,tattoo
shootings,shooting
onions,onion
textiles,textile
cleats,cleat
memoirs,memoir
emeralds,emerald
sapphires,sapphire
crystals,crystal
treasures,treasure
motors,motor
brands,brand
alleles,allele
memes,meme
test tubes,test tube
oceans,ocean
earthquakes,earthquake
geodes,geode
strata,stratum
volcanoes,volcano
gherkins,gherkin
cucumbers,cucumber
slums,slum
ghouls,ghoul
phantoms,phantom
specters,specter
talents,talent
little girls,little girl
schoolgirls,schoolgirl
rogers,roger
pigtails,pigtail
sparkles,sparkle
tonsils,tonsil
skates,skate
conservatives,conservative
hurricanes,hurricane
icecaps,icecap
bastards,bastard
mittens,mitten
aims,aim
objectives,objective
scores,score
goats,goat
billies,billy
moats,moat
idols,idol
deities,deity
creators,creator
demigods,demigod
divinities,divinity
goddesses,goddess
moves,move
travels,travel
proceeds,proceed
walks,walk
departs,depart
disappears,disappear
stares,stare
grahams,graham
bads,bad
industries,industry
shivers,shiver
errands,errand
rumors,rumor
bitches,bitch
churches,church
spires,spire
slopes,slope
corrects,correct
ranks,rank
gangs,gang
delusions,delusion
counters,counter
coordinates,coordinate
charts,chart
illustrations,illustration
golf clubs,golf club
straws,straw
tombs,tomb
headstones,headstone
tombstones,tombstone
gravestones,gravestone
boughs,bough
leafs,leaf
salutations,salutation
earthlings,earthling
hellos,hello
plastic bags,plastic bag
aisles,aisle
mornings,morning
pains,pain
mitts,mitt
old men,old man
girl guides,girl guide
craftsmen,craftsman
merchants,merchant
pleasures,pleasure
chords,chord
ferns,fern
gays,gay
gents,gent
leotards,leotard
syllables,syllable
redskins,redskin
barbers,barber
pumpkins,pumpkin
lockers,locker
cheeseburgers,cheeseburger
nibbles,nibble
occurs,occur
knocks,knock
troubles,trouble
pays,pay
rein,reins
wizards,wizard
possesses,possess
his,hi
holds,hold
keeps,keep
browns,brown
chapeaus,chapeau
pineapples,pineapple
als,al
hawks,hawk
bales,bale
likes,like
festivals,festival
leads,lead
toilets,toilet
nos,no
heaps,heap
mounds,mound
bounds,bound
stacks,stack
throws,throw
souls,soul
moor,moors
gates,gate
quills,quill
ankles,ankle
pumps,pump
stilettos,stiletto
altitudes,altitude
rotors,rotor
mother's,mother
theirs,their
vegans,vegan
hers,her
belongs,belong
themself,themselves
regards,regard
classrooms,classroom
terrorists,terrorist
rednecks,redneck
obstacles,obstacle
dreads,dread
braids,braid
flower children,flower child
haws,haw
its,it
letter s,letter
snakes,snake
repeats,repeat
smacks,smack
slaps,slap
blows,blow
misses,miss
punches,punch
attacks,attack
hoards,hoard
gaps,gap
patches,patch
spaces,space
vacations,vacation
bikes,bike
canals,canal
deniers,denier
stockings,stocking
hooters,hooter
donkeys,donkey
warriors,warrior
moods,mood
neurotransmitters,neurotransmitter
manes,mane
ponies,pony
riders,rider
stallions,stallion
nylons,nylon
patients,patient
young people,young person
twinkles,twinkle
wieners,wiener
frankfurters,frankfurter
jets,jet
baskervilles,baskerville
seconds,second
sands,sand
abodes,abode
residences,residence
roofs,roof
suburbs,suburb
eels,eel
folks,folk
embraces,embrace
chick peas,chickpea
garbanzo beans,garbanzo bean
zeros,zero
dalmatians,dalmatian
hippos,hippo
injures,injure
harms,harm
tones,tone
last names,last name
swirls,swirl
ice cubes,ice cube
pucks,puck
geysers,geyser
concepts,concept
notions,notion
eskimos,eskimo
limos,limo
photographs,photograph
rainbows,rainbow
vaccines,vaccine
flaws,flaw
leaning towards,leaning toward
includes,include
upwards,upward
paragraphs,paragraph
tepees,tepee
hindus,hindu
red skins,redskin
trends,trend
peoples,people
aboriginals,aboriginal
factories,factory
pamphlets,pamphlet
buses,bus
heirs,heir
inhibitions,inhibition
courts,court
mosquitoes,mosquito
doubts,doubt
quotes,quote
quotations,quotation
schools,school
motives,motive
purposes,purpose
workings,working
tubes,tube
women's,women
guineas,guinea
leprechauns,leprechaun
lanais,lanai
concerns,concern
worries,worry
disagreements,disagreement
emits,emit
scrubs,scrub
cherry blossoms,cherry blossom
breakers,breaker
mandibles,mandible
tentacles,tentacle
saves,save
necklaces,necklace
muslims,muslim
arabs,arab
hebrews,hebrew
semites,semite
careers,career
jams,jam
blogs,blog
leggings,legging
running shoes,running shoe
hangouts,hangout
ligaments,ligament
playing cards,playing card
gags,gag
pranks,prank
puns,pun
riddles,riddle
wisecracks,wisecrack
articles,article
kicks,kick
cross-roads,crossroad
moons,moon
brother's,brother
appearances,appearance
teases,tease
monarchs,monarch
princes,prince
thrones,throne
crowns,crown
royals,royal
smooches,smooch
shins,shin
extremities,extremity
dames,dame
sweaters,sweater
daggers,dagger
experiments,experiment
scientists,scientist
vials,vial
pan's,pan
laces,lace
doilies,doily
shoelaces,shoelace
rungs,rung
chutes,chute
dialects,dialect
tares,tare
hookers,hooker
saints,saint
in-laws,in-law
statutes,statute
fines,fine
foundations,foundation
qualities,quality
textbooks,textbook
car seats,car seat
joggings,jogging
calves,calf
legislators,legislator
stems,stem
pulses,pulse
cameras,camera
leopards,leopard
evils,evil
alphabets,alphabet
envelopes,envelope
evens,even
tiers,tier
layers,layer
platforms,platform
pulleys,pulley
fulcrums,fulcrum
lifts,lift
mechanisms,mechanism
pries,pry
damages,damage
drivers,driver
driver's,driver
twirlers,twirler
fibs,fib
falsehoods,falsehood
reclines,recline
rests,rest
untruths,untruth
bulbs,bulb
lamps,lamp
streetlights,streetlight
lilies,lily
prevents,prevent
restrictions,restriction
restricts,restrict
queues,queue
suspects,suspect
semantics,semantic
associations,association
websites,website
connects,connect
networks,network
dos,do
big cats,big cat
poems,poem
writings,writing
kidneys,kidney
breathes,breathe
resides,reside
deaths,death
wives,wife
spits,spit
fills,fill
burdens,burden
packs,pack
tonnes,tonne
ideals,ideal
airs,air
arrangements,arrangement
journals,journal
johns,john
tress,tresses
sees,see
glances,glance
observes,observe
gazes,gaze
tuns,tun
bullies,bully
hallucinations,hallucination
charms,charm
suitcases,suitcase
forests,forest
tumors,tumor
nodes,node
mrs,mr
gangsters,gangster
sopranos,soprano
periodicals,periodical
tabloids,tabloid
illusions,illusion
filings,filing
workmen,workman
gestures,gesture
manors,manor
trips,trip
runners,runner
campaigns,campaign
strategies,strategy
techniques,technique
scratches,scratch
indicates,indicate
wetlands,wetland
reeds,reed
cattails,cattail
peeps,peep
belts,belt
bangers,banger
freemasons,freemason
free masons,freemason
masons,mason
throngs,throng
instincts,instinct
formulas,formula
rations,ration
averages,average
signifies,signify
defines,define
implies,imply
metrics,metric
crusades,crusade
humors,humor
recollections,recollection
souvenirs,souvenir
hot flashes,hot flash
changes,change
depressions,depression
cough drops,cough drop
mentors,mentor
bands,band
metallics,metallic
units,unit
centimeters,centimeter
kilograms,kilogram
liters,liter
enchiladas,enchilada
rodents,rodent
traps,trap
cos,co
slides,slide
tudors,tudor
swallows,swallow
thousands,thousand
trillions,trillion
hundreds,hundred
pixels,pixel
salts,salt
deposits,deposit
shafts,shaft
henchmen,henchman
ms,m
fails,fail
swings,swing
yearns,yearn
longs,long
misters,mister
failures,failure
regrets,regret
accidents,accident
faults,fault
roberts,robert
snowballs,snowball
beaters,beater
torches,torch
paps,pap
alia,alias
friars,friar
floods,flood
rains,rain
moths,moth
cycles,cycle
ls,l
rates,rate
bulrushes,bulrush
daughters,daughter
moms,mom
carers,carer
nurtures,nurture
pitchers,pitcher
valleys,valley
fireflies,firefly
triplets,triplet
personalities,personality
bandages,bandage
wrappings,wrapping
wraps,wrap
fibers,fiber
quads,quad
tendons,tendon
barnacles,barnacle
cockles,cockle
ninja turtles,ninja turtle
greeks,greek
cuticles,cuticle
hammers,hammer
oms,om
pampers,pamper
opiates,opiate
rockets,rocket
astronauts,astronaut
passages,passage
governments,government
red indians,red indian
locals,local
savages,savage
seamen,seaman
gos,go
seals,seal
precautions,precaution
injections,injection
used cars,used car
pocket protectors,pocket protector
synapses,synapse
sensations,sensation
bird's,bird
pathways,pathway
sirs,sir
freshmen,freshman
editorials,editorial
headlines,headline
classifieds,classified
reporters,reporter
resolutions,resolution
cabs,cab
taxis,taxi
abuts,abut
evenings,evening
ds,d
no problems,no problem
doodles,doodle
explorers,explorer
fjords,fjord
nostrils,nostril
nears,near
reminders,reminder
notices,notice
scribbles,scribble
summons,summon
acumens,acumen
decimals,decimal
integers,integer
rhymes,rhyme
carbohydrates,carbohydrate
supplements,supplement
acorns,acorn
hazelnuts,hazelnut
jackets,jacket
pylons,pylon
listens,listen
disagrees,disagree
argues,argue
refuses,refuse
suckers,sucker
stinks,stink
illnesses,illness
nursing homes,nursing home
competitions,competition
fatty acids,fatty acid
ogres,ogre
leeks,leek
scallions,scallion
shallots,shallot
poodles,poodle
bunches,bunch
caboodles,caboodle
arias,aria
opticians,optician
segments,segment
tangerines,tangerine
violins,violin
donors,donor
cranes,crane
weathers,weather
orphans,orphan
vibrations,vibration
shards,shard
outsiders,outsider
turks,turk
fallopian tubes,fallopian tube
bibs,bib
oxen,ox
plows,plow
ounces,ounce
prawns,prawn
rituals,ritual
frames,frame
portraits,portrait
aces,ace
jimmies,jimmy
flapjacks,flapjack
slacks,slack
gasps,gasp
egyptians,egyptian
staples,staple
essays,essay
pens,pen
messes,mess
universes,universe
unlikes,unlike
baguettes,baguette
wigs,wig
celebrates,celebrate
divides,divide
favors,favor
guards,guard
bribes,bribe
doves,dove
plums,plum
nectarines,nectarine
planters,planter
pods,pod
pushers,pusher
prayers,prayer
blackbirds,blackbird
nickels,nickel
coppers,copper
beggars,beggar
individuals,individual
commas,comma
ellipses,ellipse
full stops,full stop
intervals,interval
mirrors,mirror
human resources,human resource
coworkers,coworker
incas,inca
llamas,llama
pine nuts,pine nut
sepals,sepal
caresses,caress
pats,pat
tickles,tickle
rises,rise
amusements,amusement
piercings,piercing
droppings,dropping
piglets,piglet
chauvinists,chauvinist
exercises,exercise
mats,mat
capsules,capsule
medications,medication
blemishes,blemish
blackheads,blackhead
whiteheads,whitehead
cones,cone
attaches,attach
thumbtacks,thumbtack
downloads,download
parrots,parrot
privateers,privateer
steals,steal
locations,location
sites,site
puts,put
towns,town
locusts,locust
deserts,desert
grasses,grass
steppes,steppe
surfaces,surface
orbits,orbit
schemes,scheme
designs,design
tectonics,tectonic
dog tags,dog tag
gamers,gamer
thickens,thicken
prongs,prong
leaks,leak
drains,drain
sizes,size
hunters,hunter
poets,poet
tories,tory
frauds,fraud
statesmen,statesman
plastics,plastic
lily pads,lily pad
microorganisms,microorganism
swans,swan
scrunchies,scrunchy
prickles,prickle
glads,glad
accomplishments,accomplishment
hipsters,hipster
vibes,vibe
postmen,postman
skins,skin
spuds,spud
tubers,tuber
potables,potable
buckets,bucket
saucepans,saucepan
kilos,kilo
thumps,thump
corrupts,corrupt
rangers,ranger
presentations,presentation
capabilities,capability
cave men,caveman
premises,premise
assumptions,assumption
axioms,axiom
facilities,facility
loafers,loafer
polo shirts,polo shirt
demonstrates,demonstrate
introduces,introduce
offers,offer
announces,announce
displays,display
pretzels,pretzel
urges,urge
optimums,optimum
kinks,kink
difficulties,difficulty
challenges,challenge
complications,complication
professions,profession
occupations,occupation
callings,calling
vocations,vocation
thirties,thirty
ballistics,ballistic
protesters,protester
procedures,procedure
provisions,provision
psychologists,psychologist
puritans,puritan
strides,stride
pharaohs,pharaoh
monuments,monument
swabs,swab
fourths,fourth
halves,half
nauseas,nausea
remarks,remark
queries,query
asks,ask
inquiries,inquiry
interrogates,interrogate
hares,hare
rabbis,rabbi
warrens,warren
greyhounds,greyhound
x-rays,x-ray
rails,rail
sloths,sloth
sultanas,sultana
currants,currant
bandits,bandit
sewers,sewer
mouses,mouse
rivers,river
bans,ban
stingrays,stingray
highlights,highlight
menus,menu
parks,park
right angles,right angle
bins,bin
trolls,troll
womens,women
policies,policy
friendships,friendship
aunts,aunt
uncles,uncle
in laws,in law
boarders,boarder
sinners,sinner
killers,killer
multiples,multiple
amphibians,amphibian
crocodiles,crocodile
people's,people
grants,grant
misgivings,misgiving
uses,use
waiters,waiter
mens,men
outcomes,outcome
rods,rod
patties,patty
wrongs,wrong
lefts,left
freedoms,freedom
privileges,privilege
entitlements,entitlement
protests,protest
shreds,shred
colleges,college
highways,highway
avenues,avenue
potholes,pothole
boulevards,boulevard
chestnuts,chestnut
burglars,burglar
highwaymen,highwayman
bad guys,bad guy
barons,baron
bathrobes,bathrobe
cloaks,cloak
cults,cult
androids,android
boulders,boulder
gerbils,gerbil
tumbles,tumble
conquerors,conqueror
italians,italian
togas,toga
baths,bath
legions,legion
slates,slate
cords,cord
violets,violet
spoils,spoil
paddles,paddle
duckies,ducky
johnnies,johnny
ridges,ridge
destroys,destroy
reigns,reign
hicks,hick
stirrups,stirrup
tars,tar
navies,navy
anchors,anchor
god's,god
heaven's,heaven
cold cuts,cold cut
bargains,bargain
customers,customer
hairdressers,hairdresser
flip flop,flip flops
communications,communication
grasslands,grassland
niggers,nigger
talks,talk
tells,tell
utters,utter
avers,aver
shouts,shout
climbs,climb
crimes,crime
marbles,marble
landscapes,landscape
highlands,highland
lookouts,lookout
hunts,hunt
searches,search
fucks,fuck
tightens,tighten
washes,wash
rubs,rub
flippers,flipper
scallops,scallop
sews,sew
sells,sell
seashells,seashell
sea shells,seashell
mariners,mariner
effects,effect
helpings,helping
thirds,third
mysteries,mystery
inputs,input
phrases,phrase
clauses,clause
propositions,proposition
punishments,punishment
statements,statement
episodes,episode
fixes,fix
wonders,wonder
bundles,bundle
irons,iron
tints,tint
maracas,maraca
sonnets,sonnet
tremors,tremor
stevens,steven
molds,mold
polygons,polygon
outlines,outline
distributes,distribute
holders,holder
wits,wit
cutters,cutter
herds,herd
husks,husk
cupboards,cupboard
knickknacks,knickknack
flocks,flock
splints,splint
mails,mail
masts,mast
timbers,timber
cobblers,cobbler
buys,buy
bathes,bathe
small pieces,small piece
facets,facet
pedestrians,pedestrian
sidewalks,sidewalk
signals,signal
portents,portent
indications,indication
indicators,indicator
omens,omen
roadways,roadway
giggles,giggle
missiles,missile
vocals,vocal
vocalists,vocalist
vans,van
rollerblades,rollerblade
pares,pare
aptitudes,aptitude
pleats,pleat
snowboards,snowboard
charades,charade
lazes,laze
africans,african
negroes,negro
plantations,plantation
african americans,african american
captives,captive
traders,trader
picking,pickings
slugs,slug
tramps,tramp
aromas,aroma
scents,scent
sniffs,sniff
reeks,reek
tastes,taste
grins,grin
kills,kill
escargots,escargot
mollusks,mollusk
serpents,serpent
boas,boa
coils,coil
vipers,viper
clicks,click
crackles,crackle
pops,pop
pimps,pimp
tennis shoes,tennis shoe
chucks,chuck
tackies,tacky
drenches,drench
programs,program
hans,han
liquids,liquid
arctics,arctic
ballads,ballad
lozenges,lozenge
gulags,gulag
shovels,shovel
ignites,ignite
spasms,spasm
talkers,talker
amplifiers,amplifier
orators,orator
presenters,presenter
narrators,narrator
lollies,lolly
frequencies,frequency
chunks,chunk
chillies,chilly
spooks,spook
peeks,peek
sneaks,sneak
rots,rot
cobwebs,cobweb
spice girls,spice girl
markings,marking
vs,v
plazas,plaza
risers,riser
postcards,postcard
suns,sun
light years,light year
territories,territory
unites,unite
percentages,percentage
probabilities,probability
statics,static
pigeons,pigeon
steaks,steak
adheres,adhere
glues,glue
nettles,nettle
garters,garter
equities,equity
securities,security
experiences,experience
narratives,narrative
generals,general
alleys,alley
thoroughfares,thoroughfare
threads,thread
strands,strand
aneurysms,aneurysm
learners,learner
learns,learn
researches,research
studios,studio
stuffed animals,stuffed animal
subdivisions,subdivision
lawns,lawn
inhales,inhale
licks,lick
businessmen,businessman
executives,executive
super powers,super power
carts,cart
mops,mop
giveaways,giveaway
gnats,gnat
hornets,hornet
joggers,jogger
blonds,blond
candies,candy
toffees,toffee
laps,lap
bathers,bather
swingers,swinger
roundabouts,roundabout
sways,sway
sabers,saber
cutlasses,cutlass
down's,down
courgettes,courgette
antonyms,antonym
restaurants,restaurant
epics,epic
folk tales,folk tale
yarns,yarn
buccaneers,buccaneer
packers,packer
faucets,faucet
nudges,nudge
raps,rap
assignments,assignment
to dos,to do
buds,bud
educators,educator
instructors,instructor
extremists,extremist
lunatics,lunatic
rips,rip
cries,cry
phones,phone
adolescents,adolescent
youngsters,youngster
youths,youth
young adults,young adult
molars,molar
lean towards,lean toward
grubs,grub
parasites,parasite
agreements,agreement
semesters,semester
twos,two
bombings,bombing
assessments,assessment
temples,temple
strippers,stripper
blessings,blessing
quakers,quaker
pricks,prick
barbs,barb
prickers,pricker
musings,musing
trios,trio
stooges,stooge
thrills,thrill
binds,bind
collars,collar
fastens,fasten
secures,secure
fishnets,fishnet
opaques,opaque
bathrooms,bathroom
passes,pass
tots,tot
gratuities,gratuity
exhausts,exhaust
rims,rim
wearies,weary
tats,tat
teats,teat
warts,wart
piggies,piggy
american indians,american indian
braves,brave
grabbers,grabber
implements,implement
hors d'oeuvres,hors d'oeuvre
spats,spat
blouses,blouse
t-shirts,t-shirt
valley girls,valley girl
hotels,hotel
sightseers,sightseer
travelers,traveler
poisons,poison
venoms,venom
teaches,teach
carriages,carriage
locomotives,locomotive
mermaids,mermaid
helmets,helmet
marches,march
jungles,jungle
lorries,lorry
semis,semi
pickups,pickup
truckers,trucker
chests,chest
swimmers,swimmer
melodies,melody
ditties,ditty
poachers,poacher
splinters,splinter
fonts,font
monkey's,monkey
weathermen,weatherman
undergarments,undergarment
portions,portion
voters,voter
bedrooms,bedroom
boy bands,boy band
bloodsuckers,bloodsucker
pedophiles,pedophile
flavors,flavor
vegetarians,vegetarian
motorcycles,motorcycle
gondolas,gondola
adversaries,adversary
hms,hm
asteroids,asteroid
climbers,climber
tendencies,tendency
amps,amp
booths,booth
wavers,waver
tennis balls,tennis ball
credit cards,credit card
dividers,divider
ceilings,ceiling
brokers,broker
docks,dock
battles,battle
conflicts,conflict
stools,stool
oscillations,oscillation
routes,route
weighs,weigh
grenades,grenade
baskets,basket
nuptials,nuptial
dandelions,dandelion
weekends,weekend
barbells,barbell
dumbbells,dumbbell
accolades,accolade
eagles,eagle
marshes,marsh
thins,thin
abouts,about
willows,willow
dimensions,dimension
panes,pane
wipers,wiper
gusts,gust
wands,wand
warlocks,warlock
broomsticks,broomstick
sorcerers,sorcerer
withers,wither
laborers,laborer
drones,drone
hardhats,hardhat
hires,hire
labors,labor
operates,operate
toils,toil
earthworms,earthworm
night crawlers,night crawler
wiggles,wiggle
lacerations,laceration
gashes,gash
greco-romans,greco-roman
creases,crease
crinkles,crinkle
furrows,furrow
himalayas,himalaya
probiotics,probiotic
tutorials,tutorial
horoscopes,horoscope
cannibals,cannibal
cages,cage
